materials,names,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31
0,Cardboard,0.07242124,0.047810838,0.10358527,0.06272054,0.0420939,0.05386901,0.03957398,0.07680197,0.05659595,0.05743997,0.063016966,0.05555856,0.05397082,0.057246476,0.049297396,0.07320939,0.08811904,0.07319362,0.058808103,0.0810432,0.04457497,0.07518505,0.049863983,0.08769127,0.0678539,0.08646887,0.055289548,0.081951246,0.09638582,0.076779366,0.0744889,0.04099828
0,Cardboard,0.0728998,0.047928534,0.10419083,0.06301304,0.04226376,0.054112982,0.03978246,0.07717624,0.05685761,0.057590175,0.06329236,0.055844687,0.054200433,0.05740393,0.049565185,0.07354875,0.088498354,0.07349363,0.059099283,0.08157983,0.044693608,0.0756471,0.050145835,0.08826509,0.06825829,0.08697635,0.055610903,0.082300246,0.096941054,0.07721087,0.07497185,0.041190952
0,Cardboard,0.07271341,0.047866803,0.10394512,0.0628906,0.042191163,0.054011412,0.03970082,0.07701897,0.05674623,0.057513177,0.063174054,0.055728946,0.05410222,0.057325054,0.049458724,0.0734052,0.088331014,0.07336098,0.058980674,0.08137122,0.044634394,0.07546379,0.05003451,0.08803917,0.06809727,0.086771905,0.055483658,0.08214674,0.09671654,0.07703644,0.07478363,0.041111458
0,Cardboard,0.07265026,0.04791541,0.103904225,0.06288585,0.04219441,0.054005917,0.039676532,0.077013284,0.056747507,0.05756773,0.063180126,0.05570826,0.05410685,0.057375155,0.04943233,0.073403835,0.088357,0.073383205,0.05896281,0.08129921,0.04467032,0.07541565,0.050004557,0.08797559,0.06805885,0.08672855,0.055449907,0.08217053,0.0966752,0.07700497,0.074719556,0.0411049
0,Cardboard,0.07224145,0.047742344,0.10334137,0.06259707,0.042020403,0.05376771,0.039495956,0.07664197,0.05648119,0.057355687,0.06289536,0.0554443,0.05387142,0.057161395,0.04919346,0.07306335,0.087943725,0.07305483,0.058690477,0.08084279,0.04451001,0.07500563,0.049756538,0.08747312,0.067697145,0.08626527,0.055165697,0.08179243,0.09616339,0.076607354,0.07430621,0.040920038
0,Cardboard,0.070123896,0.046711165,0.100343585,0.061027728,0.04106419,0.052477308,0.038553774,0.0746228,0.055023085,0.056101307,0.061328214,0.05403945,0.052578807,0.055905823,0.047936577,0.07120494,0.08563839,0.07121951,0.057234883,0.078481935,0.043569554,0.07285461,0.048457336,0.08484823,0.06579353,0.08381049,0.05367447,0.079685636,0.09344477,0.07449353,0.07216465,0.039923787
0,Cardboard,0.062560864,0.043223064,0.08971585,0.05548473,0.03772534,0.047957502,0.03516315,0.06755405,0.04991527,0.051893845,0.055884838,0.049058788,0.048102863,0.05168095,0.04345664,0.064736724,0.07759525,0.064807974,0.052081503,0.070040815,0.040377297,0.06521688,0.043822315,0.0754548,0.059022237,0.07513483,0.04834784,0.07239835,0.08383069,0.06701911,0.064510666,0.03641239
0,Cardboard,0.062223714,0.04303036,0.089215115,0.055216536,0.03755992,0.047741573,0.035009403,0.06721373,0.049666025,0.05166469,0.05561998,0.04882731,0.047884975,0.05145275,0.04325284,0.06442505,0.07718796,0.064484924,0.0518384,0.069666974,0.040205434,0.06486916,0.043611377,0.075025946,0.058709983,0.07473315,0.048103757,0.07203461,0.08338436,0.06667343,0.064167276,0.03624467
0,Cardboard,0.06164251,0.042745993,0.088374086,0.054776125,0.037293404,0.047387127,0.034742735,0.066662475,0.049266275,0.05132607,0.05520047,0.04844176,0.047537204,0.051111575,0.04290755,0.0639257,0.0765413,0.063972615,0.051432967,0.06901906,0.039948635,0.06427923,0.04324992,0.074285865,0.0581778,0.07406367,0.047686875,0.07145963,0.082641564,0.066096954,0.063573845,0.035966687
0,Cardboard,0.06722934,0.04582552,0.096548416,0.059140645,0.039971616,0.050923083,0.037271243,0.072228864,0.053332124,0.055006415,0.05954827,0.05225376,0.051106744,0.054775406,0.046278946,0.06904124,0.08311053,0.06920138,0.055408977,0.07522791,0.042709917,0.0700191,0.046725735,0.0813216,0.06329899,0.08067323,0.05169492,0.077377975,0.089994445,0.07180419,0.06923846,0.03870473
