[10.254446029663086, 2.4248251914978027]
[6.699888706207275, 1.5462266206741333]
Cardboard1 Predictions mean: 2.22, min: 1.99, max: 2.66, range: 0.67 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.89 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.64, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.64, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.73, max: 2.63, range: 0.91 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Cardboard1 Predictions mean: 2.27, min: 1.74, max: 2.64, range: 0.9 - Actual: 0.7
Ceramic1 Predictions mean: 2.29, min: 1.81, max: 2.66, range: 0.85 - Actual: 4.0
Ceramic1 Predictions mean: 2.29, min: 1.8, max: 2.65, range: 0.85 - Actual: 4.0
Ceramic1 Predictions mean: 2.29, min: 1.8, max: 2.66, range: 0.85 - Actual: 4.0
Ceramic1 Predictions mean: 2.29, min: 1.81, max: 2.65, range: 0.84 - Actual: 4.0
Ceramic1 Predictions mean: 2.29, min: 1.81, max: 2.65, range: 0.83 - Actual: 4.0
Ceramic1 Predictions mean: 2.28, min: 1.81, max: 2.64, range: 0.82 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.2, max: 2.6, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.41, min: 2.22, max: 2.58, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.19, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.2, max: 2.6, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.2, max: 2.6, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.19, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.41, min: 2.22, max: 2.58, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.41, min: 2.22, max: 2.58, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.19, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.41, min: 2.22, max: 2.58, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.41, min: 2.21, max: 2.57, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.4, min: 2.21, max: 2.57, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.23, max: 2.59, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.18, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.19, max: 2.59, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.42, min: 2.19, max: 2.59, range: 0.41 - Actual: 4.0
Ceramic1 Predictions mean: 2.41, min: 2.22, max: 2.58, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.4, min: 2.2, max: 2.58, range: 0.38 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.09, max: 2.47, range: 0.38 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.42, range: 0.34 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.09, max: 2.43, range: 0.34 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.09, max: 2.44, range: 0.35 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.06, max: 2.46, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.06, max: 2.46, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.07, max: 2.47, range: 0.4 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.41, range: 0.33 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.09, max: 2.43, range: 0.34 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.09, max: 2.44, range: 0.35 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.08, max: 2.44, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.09, max: 2.44, range: 0.35 - Actual: 4.0
Ceramic1 Predictions mean: 2.24, min: 2.1, max: 2.44, range: 0.35 - Actual: 4.0
Ceramic1 Predictions mean: 2.21, min: 2.07, max: 2.39, range: 0.32 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.4, range: 0.33 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.41, range: 0.33 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.09, max: 2.44, range: 0.35 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.08, max: 2.44, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.09, max: 2.44, range: 0.35 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.45, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.09, max: 2.44, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.24, min: 2.1, max: 2.44, range: 0.34 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.07, max: 2.39, range: 0.32 - Actual: 4.0
Ceramic1 Predictions mean: 2.21, min: 2.07, max: 2.39, range: 0.32 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.07, max: 2.39, range: 0.32 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.08, max: 2.44, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.24, min: 2.1, max: 2.44, range: 0.34 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.1, max: 2.45, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.44, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 2.08, max: 2.44, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.45, range: 0.36 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 2.08, max: 2.42, range: 0.34 - Actual: 4.0
Ceramic1 Predictions mean: 2.2, min: 1.93, max: 2.39, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.21, min: 1.93, max: 2.4, range: 0.46 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 1.94, max: 2.42, range: 0.48 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.21, min: 1.94, max: 2.4, range: 0.46 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.41, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.23, min: 1.93, max: 2.42, range: 0.48 - Actual: 4.0
Ceramic1 Predictions mean: 2.2, min: 1.93, max: 2.39, range: 0.46 - Actual: 4.0
Ceramic1 Predictions mean: 2.19, min: 1.92, max: 2.39, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.2, min: 1.93, max: 2.39, range: 0.47 - Actual: 4.0
Ceramic1 Predictions mean: 2.2, min: 1.93, max: 2.39, range: 0.46 - Actual: 4.0
Ceramic1 Predictions mean: 2.2, min: 1.93, max: 2.39, range: 0.46 - Actual: 4.0
Ceramic1 Predictions mean: 2.22, min: 1.94, max: 2.4, range: 0.46 - Actual: 4.0
Glass1 Predictions mean: 2.2, min: 1.89, max: 2.42, range: 0.52 - Actual: 0.2
Glass1 Predictions mean: 2.2, min: 1.89, max: 2.42, range: 0.52 - Actual: 0.2
