materials,names,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31,spectrum_32,spectrum_33,spectrum_34,spectrum_35,spectrum_36,spectrum_37,spectrum_38,spectrum_39,spectrum_40,spectrum_41,spectrum_42,spectrum_43,spectrum_44,spectrum_45,spectrum_46,spectrum_47,spectrum_48,spectrum_49,spectrum_50,spectrum_51,spectrum_52,spectrum_53,spectrum_54,spectrum_55,spectrum_56,spectrum_57,spectrum_58,spectrum_59,spectrum_60,spectrum_61,spectrum_62,spectrum_63
0,Cardboard,0.06847239,0.0007980445,0.0010040711,0.0015974758,0.0011900244,0.0013870286,0.0011400894,0.0012513156,0.0042765774,0.0011682332,0.0011088258,0.0010263802,0.0012223166,0.055708118,0.0014254717,0.0011188933,0.0012232745,0.0012138318,0.0009791547,0.001419501,0.02436307,0.0050962195,0.0050762715,0.001131093,0.0010169467,0.0014872581,0.0009900776,0.0011941254,0.069845505,0.0014289819,0.00093561044,0.014781887,0.0011959125,0.0014524409,0.001143755,0.0013461481,0.0015287604,0.0009404075,0.0027508328,0.0020188668,0.0013410067,0.0013420288,0.0011650405,0.025890155,0.0010824709,0.00088725024,0.0012010501,0.0012855631,0.007373849,0.0013935468,0.07472853,0.042149063,0.001031592,0.00092329195,0.0014098691,0.0012301133,0.0011091111,0.0012388581,0.002352632,0.013541764,0.0009586229,0.001235119,0.0016539682,0.001062313
0,Cardboard,0.06963521,0.0008004379,0.001007154,0.0015913531,0.0011854486,0.0013860078,0.0011423755,0.0012444841,0.0043138526,0.001159206,0.0011105736,0.0010269852,0.0012188724,0.056644883,0.0014343427,0.0011217688,0.0012227203,0.0012156931,0.000978598,0.001419989,0.024665486,0.0051357914,0.0051163645,0.001126946,0.0010207561,0.0014932639,0.0009926676,0.0011898977,0.07103702,0.001432038,0.0009380767,0.014960515,0.0011877352,0.0014587896,0.0011463348,0.0013471993,0.00152452,0.0009461625,0.0027689093,0.0020318853,0.0013449801,0.0013340033,0.0011613326,0.026296878,0.0010817014,0.00089150254,0.0011922728,0.0012781699,0.007444144,0.0013943093,0.0761279,0.042773522,0.0010320246,0.00092503184,0.0014008165,0.0012270152,0.0011133061,0.0012426571,0.0023658357,0.0136884535,0.0009631362,0.0012401397,0.0016614603,0.0010649536
0,Cardboard,0.06955541,0.00080183794,0.0010088356,0.0015955021,0.0011885529,0.001388969,0.0011444766,0.0012481082,0.004316335,0.0011630014,0.001112725,0.0010290435,0.0012219662,0.056584466,0.0014360122,0.0011236565,0.0012253784,0.0012179688,0.0009808588,0.001422779,0.024659837,0.0051396624,0.005120254,0.0011299278,0.0010224063,0.001495498,0.0009944158,0.0011930356,0.070953175,0.0014344383,0.00093984185,0.0149588855,0.0011915189,0.0014608677,0.0011482976,0.0013497563,0.0015282597,0.0009473559,0.0027717287,0.0020340618,0.0013472287,0.0013379235,0.001164372,0.026278248,0.0010840755,0.0008928622,0.0011960292,0.0012818725,0.0074467617,0.0013969804,0.07601159,0.04273967,0.0010341346,0.00092676055,0.0014049709,0.0012300378,0.0011150355,0.0012447017,0.0023685792,0.01368855,0.0009645375,0.0012419317,0.0016636177,0.0010668321
0,Cardboard,0.06879669,0.0007947524,0.0010001394,0.0015862386,0.0011816212,0.0013793751,0.0011349932,0.001241319,0.0042742435,0.0011575486,0.0011035401,0.0010212162,0.0012140607,0.055959545,0.0014221931,0.0011144101,0.001216461,0.0012082458,0.00097333745,0.0014124581,0.024409223,0.0050905705,0.005070608,0.0011230337,0.0010131611,0.0014822362,0.0009859237,0.0011856564,0.07018313,0.0014232276,0.0009313893,0.014804897,0.0011853471,0.0014478548,0.0011390537,0.0013397607,0.0015187734,0.0009380034,0.0027456002,0.0020147506,0.0013357238,0.0013311476,0.0011568817,0.025980063,0.0010763499,0.0008842592,0.0011904888,0.0012753091,0.0073746657,0.001386831,0.07517082,0.042300712,0.0010262751,0.0009190894,0.0013982614,0.0012220826,0.0011051771,0.0012340831,0.0023471152,0.01355704,0.0009555617,0.0012311221,0.0016493041,0.0010578322
0,Cardboard,0.069200255,0.0008083444,0.001016672,0.001614358,0.0012027479,0.0014025577,0.0011541381,0.0012645491,0.004328003,0.0011802005,0.0011225786,0.0010385667,0.0012360888,0.05631651,0.0014438357,0.0011324418,0.0012375644,0.0012284396,0.0009911631,0.0014355943,0.024633674,0.0051570004,0.005137583,0.0011435394,0.0010300629,0.0015057651,0.0010024976,0.0012073515,0.07058206,0.0014455706,0.00094788405,0.01495243,0.0012086523,0.0014704928,0.0011574449,0.0013615784,0.001545284,0.0009529809,0.0027845984,0.0020441455,0.001357554,0.0013557109,0.001178213,0.026196012,0.001094993,0.00089916034,0.0012131545,0.001298721,0.0074591786,0.0014092932,0.07550731,0.042590477,0.0010438627,0.0009347639,0.0014238931,0.0012438466,0.00112307,0.0012541213,0.0023811893,0.013690295,0.0009710602,0.0012502959,0.0016737634,0.0010754864
0,Cardboard,0.07330781,0.00093806785,0.0011740173,0.0018787099,0.0014014177,0.0016212651,0.0013363067,0.0014831772,0.0048425295,0.0013930658,0.0013039055,0.0012028895,0.0014440756,0.05992185,0.0016507227,0.00130359,0.0014372907,0.0014201576,0.0011607817,0.0016540925,0.026814884,0.0057927007,0.0057791886,0.0013368248,0.0011915171,0.0017300805,0.0011603899,0.0014119841,0.07465536,0.0016569219,0.0011058421,0.01638073,0.00142846,0.0016861238,0.0013317374,0.0015677679,0.0017947629,0.0010964867,0.003157371,0.0023249667,0.0015653857,0.0015861797,0.001379913,0.028330266,0.0012712223,0.0010419511,0.0014256082,0.0015182731,0.008269282,0.0016213716,0.07906705,0.045466084,0.0012105054,0.001083867,0.0016638561,0.0014491976,0.0012935887,0.0014447558,0.0027058278,0.014972634,0.0011191879,0.0014326635,0.00190589,0.0012435006
0,Cardboard,0.035227507,0.006104464,0.0067093363,0.025310624,0.019523907,0.014097313,0.009128501,0.027676579,0.010771969,0.037087742,0.009784509,0.009418299,0.0185118,0.031184347,0.0061771446,0.0073714787,0.01357291,0.009874535,0.012509017,0.01232025,0.029132778,0.014944972,0.015338406,0.020386817,0.006782196,0.008460651,0.0071611814,0.020004475,0.03424976,0.009595516,0.007853563,0.019869301,0.03532771,0.007547481,0.007927254,0.010506319,0.021853138,0.004732848,0.010148531,0.007858197,0.0088014025,0.030766603,0.01865046,0.021178318,0.012202309,0.0055540185,0.032271672,0.028734095,0.014633564,0.011639157,0.025710255,0.029607212,0.010050348,0.007740199,0.03300831,0.017406644,0.006573105,0.007781147,0.009562171,0.019318724,0.0053210566,0.0067715696,0.007647361,0.0077188374
0,Cardboard,0.026008686,0.0052046087,0.005666742,0.024432305,0.018833853,0.012817352,0.007910325,0.027704017,0.008648955,0.038860764,0.008524734,0.008336685,0.01748581,0.023028063,0.005028466,0.0062475377,0.012385697,0.008617589,0.011370668,0.0109923845,0.022718959,0.012160978,0.012548547,0.019972969,0.0057115178,0.007085537,0.006056899,0.019173859,0.025104867,0.008318678,0.0066829165,0.0154614635,0.03643856,0.0062517966,0.006830739,0.009155315,0.02093614,0.003881863,0.008270874,0.006400809,0.007419845,0.03132961,0.017573252,0.015935244,0.011171508,0.0046173898,0.033206824,0.02922379,0.011606997,0.01036111,0.018257838,0.022444118,0.008985068,0.006726136,0.03379838,0.016340021,0.0054732105,0.0065262923,0.00784248,0.015178496,0.004369801,0.0056757503,0.0063433084,0.0065867826
0,Cardboard,0.012146261,0.0031513853,0.0033661807,0.01985678,0.015238479,0.009076528,0.004994108,0.024367753,0.004696098,0.03795273,0.0054357783,0.0055155135,0.013441609,0.010724584,0.0027667906,0.0037479284,0.008807537,0.005530707,0.007969038,0.0074613104,0.011828973,0.006805688,0.0071058623,0.016731715,0.0033806732,0.0041619297,0.0036002747,0.015244005,0.011534748,0.0052954787,0.0040216683,0.007959499,0.034332152,0.0035682519,0.0042639384,0.0058693825,0.016740967,0.0021615967,0.004602869,0.0035423166,0.0043928996,0.028799923,0.013397898,0.0076761795,0.008007887,0.0026434637,0.031087209,0.026738688,0.006172574,0.0069987657,0.0078370245,0.011083203,0.006087407,0.004259551,0.031467352,0.012392822,0.0031495492,0.0038179401,0.0044110827,0.00799213,0.0024316693,0.0033349458,0.003649675,0.004002483
0,Cardboard,0.07156097,0.0010578281,0.0013172056,0.0021939636,0.0016378954,0.0018541976,0.0015115085,0.0017580212,0.005151413,0.0016787099,0.001482419,0.0013689792,0.0016838755,0.05876378,0.0018098949,0.0014620112,0.0016486304,0.0016073688,0.0013429839,0.0018768436,0.027397485,0.006217299,0.006207964,0.0015661676,0.0013357215,0.0019255484,0.0013080164,0.00165378,0.07273505,0.0018550777,0.0012564182,0.016845927,0.001716644,0.0018693409,0.0014947341,0.0017735342,0.0020818543,0.001209338,0.0034343759,0.0025355974,0.0017564261,0.0018804803,0.0016159558,0.028332544,0.0014590571,0.0011641352,0.0017064072,0.0017962886,0.008693614,0.0018352572,0.07566828,0.045116145,0.0013805901,0.0012276588,0.0019740504,0.0016834274,0.0014437084,0.0016183926,0.0029598596,0.015457392,0.0012445446,0.0015892304,0.0020972928,0.0014012234
