materials,names,color,distance,mode,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31
0,Cardboard,N,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23650247,0.0,0.0,0.26988322,0.60537577,0.0,0.0,0.0,0.17544729,0.0,0.0,0.0,0.0,0.0,0.0,0.11350669,0.0,0.0,0.0,0.0,0.0,0.26854658,0.0,0.0
0,Cardboard,N,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25451687,0.0,0.0,0.2713502,0.6095671,0.0,0.0,0.0,0.19343725,0.0,0.0,0.0,0.0,0.0,0.0,0.14402957,0.0,0.0,0.0,0.0,0.0,0.28882304,0.0,0.0
0,Cardboard,N,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2487717,0.0,0.0,0.2709043,0.6079758,0.0,0.0,0.0,0.18779057,0.0,0.0,0.0,0.0,0.0,0.0,0.13431288,0.0,0.0,0.0,0.0,0.0,0.28240803,0.0,0.0
0,Cardboard,N,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2526758,0.0,0.0,0.27122965,0.61245286,0.0,0.0,0.0,0.19058341,0.0,0.0,0.0,0.0,0.0,0.0,0.14095028,0.0,0.0,0.0,0.0,0.0,0.28603062,0.0,0.0
0,Cardboard,N,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22850311,0.0,0.0,0.26637086,0.58273035,0.0,0.0,0.0,0.17241853,0.0,0.0,0.0,0.0,0.0,0.0,0.09740038,0.0,0.0,0.0,0.0,0.0,0.26446757,0.0,0.0
0,Cardboard,N,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14840798,0.0,0.0,0.23891014,0.45324397,0.0,0.0,0.0,0.12069006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955441,0.0,0.0016202964
0,Cardboard,N,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11844366,0.1328554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05113382
0,Cardboard,N,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114028305,0.118649796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05262483
0,Cardboard,N,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10697549,0.09725474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05429261
0,Cardboard,N,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114301205,0.0,0.0,0.22817096,0.4505061,0.0,0.0,0.0,0.0846837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15040949,0.0,0.00044908002
0,Cardboard,N,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08434266,0.0,0.0,0.20688929,0.38545388,0.0,0.0,0.0,0.068470135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121405035,0.0,0.012571359
0,Cardboard,N,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591414,0.0,0.0,0.27523175,0.658284,0.0,0.0,0.0,0.18508154,0.0,0.0,0.0,0.0,0.0,0.0,0.15509142,0.0,0.0,0.0,0.0,0.0,0.28320527,0.0,0.0
0,Cardboard,N,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18669501,0.0,0.0,0.25540134,0.53790206,0.0,0.0,0.0,0.13810258,0.0,0.0,0.0,0.0,0.0,0.0,0.032353804,0.0,0.0,0.0,0.0,0.0,0.22437954,0.0,0.0
0,Cardboard,N,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18920451,0.0,0.0,0.25642425,0.5437054,0.0,0.0,0.0,0.13914049,0.0,0.0,0.0,0.0,0.0,0.0,0.036042616,0.0,0.0,0.0,0.0,0.0,0.22621244,0.0,0.0
